city,brand,model,year,price,detail_url,km,motor,ano,tipo,combustible,color,transmision,puertas
SANTA,CRUZ,Nissan Frontier,2022,"$69,900",https://www.autopia.com.bo/auto/camioneta-usados/nissan-frontier-2022-683a3dba0cff3d057f01c7b7,7.000,2.5 Lt.,2022,Camioneta,Gasolina,Rojo,Automático,4
COCHABAMBA,Changan,Cs35,2021,"$180,000",https://www.autopia.com.bo/auto/suv-usados/changan-cs35-2021-6839c10b36a257341f78f6d4,57.100,1.4 Lt.,2021,SUV,Gasolina,Rojo,Mecánico,5
LA,PAZ,Nissan Sentra,1998,"$7,600",https://www.autopia.com.bo/auto/sedan-usados/nissan-sentra-1998-6839bd080efd433c23100df4,100.000,1.5 Lt.,1998,Sedán,Gasolina,Blanco,Automático,4
SANTA,CRUZ,JAC T8,2022,"$21,500",https://www.autopia.com.bo/auto/camioneta-usados/jac-t8-2022-6838ee8bc7849e6e5e7ae7e4,55.000,2.0 Lt.,2022,Camioneta,Gasolina,Negro,Mecánico,4
COCHABAMBA,KIA,Sonet,2025,"$37,500",https://www.autopia.com.bo/auto/suv-usados/kia-sonet-2025-6838a590ea835c453b25ab16,4.000,1.5 Lt.,2025,SUV,Gasolina,Negro,Mecánico,5
SANTA,CRUZ,Honda Ridgeline,2022,"$45,000",https://www.autopia.com.bo/auto/camioneta-usados/honda-ridgeline-2022-68384aab74ce531c9c55ea04,45.000,3.5 Lt.,2022,Camioneta,Gasolina,Blanco,Automático,5
SANTA,CRUZ,Hyundai Galloper,2000,"$77,000",https://www.autopia.com.bo/auto/camioneta-usados/hyundai-galloper-2000-683736eacc72813bdd0992c3,80.000,2.5 Lt.,2000,Camioneta,Diesel,Celeste,Mecánico,5
SANTA,CRUZ,Nissan Frontier,2024,"$79,900",https://www.autopia.com.bo/auto/camioneta-usados/nissan-frontier-2024-683551d2fc51e21cca461bc5,21.000,2.5 Lt.,2024,Camioneta,Gasolina,Gris Oscuro,Automático,4
SANTA,CRUZ,Suzuki Dzire Sedan,2015,"$18,500",https://www.autopia.com.bo/auto/sedan-usados/suzuki-dzire-sedan-2015-68355000775c0c0cf34474d4,150,1.2 Lt.,2015,Sedán,Gasolina,Blanco Perla,Automático,4
SANTA,CRUZ,Toyota Starlet,1995,"$11,900",https://www.autopia.com.bo/auto/citycar-usados/toyota-starlet-1995-68354b8761c3f5573f085a36,10,1.3 Lt.,1995,CityCar,Gasolina,Blanco,Mecánico,2
LA,PAZ,Hyundai I-10,2012,"$13,500",https://www.autopia.com.bo/auto/citycar-usados/hyundai-i-10-2012-6834b2414373610a61507274,66.700,1.2 Lt.,2012,CityCar,Gasolina,Beige,Mecánico,5
